-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_per_fused_add_convolution_div_native_group_no...         0.00%       0.000us         0.00%       0.000us       0.000us     800.612us         0.06%     800.612us      40.031us            20  
triton_poi_fused_add_constant_pad_nd_convolution_div...         0.00%       0.000us         0.00%       0.000us       0.000us     700.772us         0.05%     700.772us       7.008us           100  
       triton_per_fused_convolution_native_group_norm_4         0.00%       0.000us         0.00%       0.000us       0.000us     699.121us         0.05%     699.121us       1.092us           640  
                           triton_red_fused_abs_amax_22         0.00%       0.000us         0.00%       0.000us       0.000us     641.381us         0.05%     641.381us       6.414us           100  
                   triton_poi_fused_convolution_silu_39         0.00%       0.000us         0.00%       0.000us       0.000us     623.647us         0.04%     623.647us       5.197us           120  
                          triton_red_fused_mm_silu_t_48         0.00%       0.000us         0.00%       0.000us       0.000us     617.155us         0.04%     617.155us      30.858us            20  
       triton_poi_fused_clone_native_group_norm_silu_44         0.00%       0.000us         0.00%       0.000us       0.000us     616.449us         0.04%     616.449us      30.822us            20  
triton_red_fused_add_cat_mm_mul_native_layer_norm_sp...         0.00%       0.000us         0.00%       0.000us       0.000us     599.106us         0.04%     599.106us      29.955us            20  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.608s
Self CUDA time total: 1.394s
