trial,width,arm,repeat,boundary,audit_status,raw_status,seconds,frames,fps,age_p50_ms,age_p95_ms,age_p99_ms,age_max_ms,max_event_gap_ms,final_silence_ms,frames_over_250ms,percent_over_250ms,frames_over_500ms,percent_over_500ms,frames_over_1000ms,percent_over_1000ms
before-1024-r0,1024,before,0,stage/webgl-frame-submitted,passed,measured,60.25919995117187,496,8.23110828557149,415.14990234375,446.02490234375,1351.7300048828126,1577.5,684.5,45.199951171875,496,100.0,12,2.4193548387096775,6,1.2096774193548387
before-1024-r1,1024,before,1,stage/webgl-frame-submitted,passed,measured,60.266599609375,499,8.27987646945948,416.7001953125,443.400146484375,448.410146484375,476.400390625,169.400146484375,30.999755859375,499,100.0,0,0.0,0,0.0
compute-capture-1024-r0,1024,compute-capture,0,main/sent,passed,measured,60.23910009765625,3441,57.12236727344273,,,,,620.10009765625,3.10009765625,0,,0,,0,
compute-capture-1024-r1,1024,compute-capture,1,main/sent,passed,measured,60.2455,3342,55.473022881377034,,,,,820.0,3.5,0,,0,,0,
compute-capture-1024-r0,1024,compute-capture,0,main/received,passed,measured,60.23910009765625,731,12.134975436468071,296.2001953125,409.1500244140625,800.2100097656265,1110.7001953125,164.5,23.0,731,100.0,30,4.1039671682626535,4,0.5471956224350205
compute-capture-1024-r1,1024,compute-capture,1,main/received,passed,measured,60.2455,728,12.083890083076744,304.0,616.3100463867183,1082.2419287109396,1406.10009765625,143,51.60009765625,728,100.0,45,6.181318681318682,8,1.098901098901099
compute-capture-1024-r0,1024,compute-capture,0,main/preview-image-raf,passed,measured,60.23910009765625,731,12.134975436468071,313.800048828125,423.2000732421875,806.459985351564,1118.400146484375,167.7998046875,5.0,731,100.0,32,4.377564979480164,5,0.6839945280437757
compute-capture-1024-r1,1024,compute-capture,1,main/preview-image-raf,passed,measured,60.2455,728,12.083890083076744,319.5999755859375,632.6650146484369,1100.1578930664084,1425.2001953125,144.5,41.800048828125,728,100.0,47,6.456043956043956,9,1.2362637362637363
compute-capture-1024-r0,1024,compute-capture,0,stage/webgl-frame-submitted,passed,measured,60.23910009765625,731,12.134975436468071,301.099853515625,412.5499267578125,808.7197021484391,1116.300048828125,168.60009765625,20.500244140625,731,100.0,30,4.1039671682626535,5,0.6839945280437757
compute-capture-1024-r1,1024,compute-capture,1,stage/webgl-frame-submitted,passed,measured,60.2455,728,12.083890083076744,308.800048828125,619.9550170898433,1093.2819287109396,1409.60009765625,141.800048828125,48.300048828125,728,100.0,45,6.181318681318682,9,1.2362637362637363
latest-input-1024-r0,1024,latest-input,0,main/sent,passed,measured,60.26639990234375,3389,56.23365599225386,,,,,51.10009765625,0.5,0,,0,,0,
latest-input-1024-r1,1024,latest-input,1,main/sent,passed,measured,60.2497001953125,3221,53.46084693464745,,,,,1090.199951171875,1.0,0,,0,,0,
latest-input-1024-r0,1024,latest-input,0,main/received,passed,measured,60.26639990234375,727,12.063106493469624,155.2001953125,177.4700439453125,180.7740234375,189.199951171875,96.60009765625,67.2998046875,0,0.0,0,0.0,0,0.0
latest-input-1024-r1,1024,latest-input,1,main/received,passed,measured,60.2497001953125,723,12.000059712434059,157.0,224.59003906249995,1404.6180273437444,1712.5,220.60009765625,47.300048828125,35,4.840940525587828,21,2.904564315352697,12,1.6597510373443984
latest-input-1024-r0,1024,latest-input,0,main/preview-image-raf,passed,measured,60.26639990234375,727,12.063106493469624,174.199951171875,195.7700927734375,202.15004882812502,209.300048828125,112.300048828125,52.099853515625,0,0.0,0,0.0,0,0.0
latest-input-1024-r1,1024,latest-input,1,main/preview-image-raf,passed,measured,60.2497001953125,722,11.983462119470804,172.60009765625,241.6801025390629,1421.0389794921798,1728.89990234375,231.60009765625,36.300048828125,35,4.847645429362881,23,3.185595567867036,12,1.6620498614958448
latest-input-1024-r0,1024,latest-input,0,stage/webgl-frame-submitted,passed,measured,60.26639990234375,727,12.063106493469624,159.60009765625,181.800048828125,186.992001953125,198.800048828125,98.0,64.099853515625,0,0.0,0,0.0,0,0.0
latest-input-1024-r1,1024,latest-input,1,stage/webgl-frame-submitted,passed,measured,60.2497001953125,723,12.000059712434059,161.099853515625,229.60988769531244,1419.0299023437442,1716.69970703125,226.0,44.2001953125,35,4.840940525587828,21,2.904564315352697,12,1.6597510373443984
